Code	Data.fileFormatName	Data.incomeSourceId	Data.dataSourceName
1	PSB	94	AggregatedPaymentRegisterPsbFileLoader
2	KSZ	82	AggregatedPaymentRegisterCliFileLoader
3	Sber	98	AggregatedPaymentRegisterSberFileLoader
4	IBO	33	AggregatedPaymentRegisterIboxFileLoader
5	VTB	10	AggregatedPaymentRegisterVtbFileLoader
6	RNKO	84	AggregatedPaymentRegisterRnkoFileLoader
7	SbRf	60	AggregatedPaymentRegisterSbrfFileLoader
8	TkbTerminal	32	AggregatedPaymentRegisterTkbtFileLoader
9	TkbLending	32	AggregatedPaymentRegisterTkblFileLoader
10	TkbEquiring	32	AggregatedPaymentRegisterTkblFileLoader
11	Otkrytie	88	AggregatedPaymentRegisterOpenFileLoader
